month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202112,nevada,nv,462500.0,0.0065,0.3214,5784,-0.1643,-0.2992,42.0,0.18309859154929575,-0.18446601941747576,2820,-0.2777,-0.1402,256,-0.0588,-0.2099,1092,-0.3781,-0.2982,1581,-0.1138,-0.0168,242.98923563438296,0.0024,0.2567,1921.0,-0.0021,0.0555,764543.3647379831,0.0077,0.2306,7365,-0.1539,-0.2532,0.2733402489626556,0.0156,0.0785,1
202112,indiana,in,229950.0,0.0002,0.137,7480,-0.1049,-0.1709,47.5,0.15853658536585358,-0.14414414414414412,4028,-0.2863,0.0307,156,-0.1333,0.0541,2100,-0.3269,-0.1102,6270,-0.1501,0.0151,123.93989720962335,0.0088,0.1501,1823.0,-0.0141,-0.0055,312998.8109954996,0.0083,0.1259,13750,-0.1261,-0.0953,0.8382352941176471,-0.0445,0.1536,0
202112,wyoming,wy,323700.0,0.0227,0.2124,1306,-0.1018,-0.3119,65.0,0.06557377049180335,-0.21212121212121215,452,-0.1032,-0.0424,40,2.3333,1.5,160,-0.2453,-0.1304,718,-0.1308,-0.0614,151.7094017094017,0.0155,0.2115,2114.0,0.0071,-0.0233,826168.7862841946,0.0271,0.323,2024,-0.1123,-0.24,0.5497702909647779,-0.0183,0.1467,0
202112,kentucky,ky,238950.0,-0.0021,0.0744,6166,-0.1633,-0.1323,42.0,0.25373134328358216,-0.31707317073170727,3068,-0.2044,0.1279,156,0.8571,0.7727,1240,-0.4227,-0.1622,7254,-0.1834,-0.0189,133.66565113284753,-0.0029,0.1287,1766.0,-0.0104,-0.0368,330176.27146622515,-0.1688,0.0574,13420,-0.1743,-0.0745,1.1764515082711644,-0.029,0.1359,0
202112,virginia,va,363296.5,-0.018,0.041,11160,-0.1748,-0.2879,49.5,0.16470588235294126,-0.09999999999999998,6172,-0.2909,-0.0966,708,0.2292,-0.2436,1944,-0.4073,-0.2614,13533,-0.1475,-0.0834,190.9171511627907,-0.0055,0.1185,1884.0,0.0027,-0.0511,547986.0658855215,-0.0059,0.0144,24693,-0.16,-0.1887,1.2126344086021505,0.0389,0.2705,0
202112,alabama,al,274500.0,-0.0161,0.0973,8479,-0.0691,-0.2924,56.0,0.08737864077669899,-0.18840579710144922,3916,-0.1524,0.0114,448,-0.0261,-0.3708,1508,-0.3044,-0.1129,6112,-0.1124,0.0877,135.50373924404198,0.0007,0.127,1943.0,-0.0092,-0.0438,385804.91581644,-0.0084,0.122,14591,-0.0877,-0.1711,0.7208397216652908,-0.0352,0.2519,0
202112,missouri,mo,244950.0,0.0002,0.1369,9370,-0.1231,-0.2027,58.5,0.16999999999999993,-0.09302325581395354,4156,-0.28,-0.0529,388,0.902,0.2125,1860,-0.308,-0.1276,11102,-0.1265,-0.0492,138.4920634920635,0.0032,0.1634,1725.0,-0.0017,-0.0379,349607.71466610883,0.0071,0.0983,20472,-0.1249,-0.1262,1.1848452508004268,-0.0047,0.1913,0
202112,utah,ut,602325.0,0.0234,0.0961,3528,-0.2118,-0.1204,45.0,0.19999999999999996,-0.23076923076923073,2236,-0.3416,-0.0278,244,-0.2278,-0.1644,648,-0.55,-0.0241,8383,-0.0969,0.0099,245.9698261937068,0.008,0.1626,2569.5,0.0223,0.0196,1178521.3365949534,0.0532,0.0684,11911,-0.1342,-0.0326,2.3761337868480727,0.3024,0.3066,0
202112,delaware,de,399450.0,0.0063,0.1446,1446,-0.1007,-0.23,63.5,0.22115384615384626,-0.16993464052287577,744,-0.2734,0.1205,120,-0.0909,-0.4,268,-0.2299,0.0469,2552,-0.1468,-0.0973,190.8683065261073,-0.0042,0.1311,2007.5,0.0012,0.0037,495118.3501967838,0.0111,0.0543,3998,-0.1307,-0.1503,1.7648686030428768,-0.0952,0.2595,0
202112,new mexico,nm,300000.0,-0.0081,0.0718,3432,-0.0821,-0.2477,63.5,0.0672268907563025,-0.09285714285714286,1228,-0.1448,-0.1203,120,-0.2683,0.0714,480,-0.2727,-0.2982,2911,-0.1676,-0.0934,157.09766192014808,0.0054,0.1113,1945.5,-0.0069,-0.0277,489398.84199899755,-0.0034,0.096,6343,-0.1234,-0.184,0.8481934731934732,-0.0871,0.1443,0
202112,pennsylvania,pa,250000.0,-0.0381,-0.0383,17469,-0.1252,-0.1429,61.5,0.13888888888888884,-0.09558823529411764,7272,-0.3064,0.0972,672,0.12,0.1351,3896,-0.3651,0.0296,18880,-0.148,0.0124,155.09413849433787,-0.0107,0.0458,1652.0,-0.0167,-0.0632,379561.39914492256,-0.011,-0.0287,36349,-0.1372,-0.0687,1.0807716526418227,-0.0288,0.1658,0
202112,georgia,ga,365000.0,-0.0068,0.1318,25387,-0.0804,-0.2186,46.5,0.1071428571428572,-0.1696428571428571,13884,-0.2373,-0.0074,1520,0.0585,-0.3116,5144,-0.2493,-0.0879,33862,-0.0747,0.0029,167.34374999999997,0.0033,0.1582,2118.0,-0.0098,-0.0418,508595.85150596185,-0.0049,0.0776,59249,-0.0771,-0.1058,1.3338322763619175,0.0083,0.2946,0
202112,nebraska,ne,262450.0,0.0202,0.0823,2268,-0.1435,-0.2204,54.5,0.2247191011235956,-0.06034482758620685,1092,-0.2521,-0.0714,76,1.1111,-0.2963,292,-0.5,-0.2913,3466,-0.1223,-0.0561,141.28039588202,0.0191,0.1282,1899.0,0.0142,-0.0404,350032.51014500635,0.0235,0.1171,5734,-0.1308,-0.1287,1.5282186948853616,0.0369,0.2659,0
202112,vermont,vt,369450.0,0.0123,0.1368,956,-0.1517,-0.5082,85.0,0.11111111111111116,-0.11917098445595853,324,-0.2136,-0.2136,12,-0.25,-0.25,92,-0.439,-0.4773,685,-0.2389,-0.3495,187.78586278586278,-0.0226,0.1414,2034.5,0.0172,0.0198,601867.6092123811,0.0264,0.1691,1641,-0.1904,-0.4525,0.7165271966527197,-0.0821,0.1749,0
202112,oregon,or,510085.5,-0.0134,0.0583,5610,-0.1902,-0.0071,54.0,0.18681318681318682,-0.1074380165289256,3096,-0.2787,0.0361,2040,-0.0078,1.3944,2372,-0.2279,0.8079,8571,-0.1408,-0.0407,286.52935875354706,0.0035,0.1424,1836.5,-0.0068,-0.0563,715707.089920684,0.0063,0.0862,14181,-0.1611,-0.0277,1.527807486631016,0.0879,-0.0536,0
202112,idaho,id,547900.0,0.0251,0.2495,3415,-0.1873,0.5502,56.0,0.15463917525773185,0.0,1480,-0.3186,0.1246,108,0.35,-0.2895,836,-0.3924,1.09,4513,-0.1259,0.1187,272.43760663397836,0.0092,0.2105,2126.0,0.0019,0.0256,840647.5495819752,0.0176,-0.0519,7928,-0.1534,0.2711,1.3215226939970717,0.0928,-0.5096,1
202112,north dakota,nd,250000.0,-0.0344,0.0582,1650,-0.0998,-0.2973,83.5,0.176056338028169,-0.04571428571428571,356,-0.3206,-0.2261,84,4.25,3.2,164,-0.4675,-0.4744,760,-0.1828,-0.0582,125.24306158790827,-0.0014,0.0883,2101.5,-0.0069,0.0043,298344.63714161003,-0.0083,0.0685,2410,-0.1278,-0.2361,0.46060606060606063,-0.0468,0.1169,0
202112,louisiana,la,269507.5,-0.0198,0.0767,6808,-0.0419,-0.3344,64.5,-0.007692307692307665,-0.19875776397515532,2444,-0.1799,-0.1687,152,0.0857,-0.1556,1364,-0.2489,-0.2422,7400,-0.0857,0.107,137.35337216146723,-0.0117,0.0877,1900.0,-0.0084,-0.0304,378644.25283128594,-0.0144,0.0619,14208,-0.0653,-0.16,1.0869565217391304,-0.0521,0.4334,0
202112,south dakota,sd,287400.0,0.0275,0.1955,1551,-0.167,-0.1833,51.0,0.146067415730337,-0.2272727272727273,460,-0.3539,-0.0574,20,-0.375,-0.1667,120,-0.25,-0.0909,689,-0.142,0.0029,165.28703705208397,0.0148,0.2349,1730.0,-0.0006,-0.0613,386569.9992436157,0.0266,0.1962,2240,-0.1595,-0.1338,0.4442295293359123,0.013,0.0825,0
202112,mississippi,ms,229450.0,-0.0236,0.0326,3951,-0.0447,-0.3123,52.0,0.28395061728395055,-0.38095238095238093,1464,-0.1181,-0.0317,64,0.0,-0.4074,688,-0.1848,-0.0802,4108,-0.0691,0.2259,109.79130569781967,-0.0213,0.0414,2000.5,-0.0027,-0.0222,322345.8759065221,-0.0159,0.0867,8059,-0.0573,-0.114,1.0397367754998734,-0.0272,0.4564,0
